index,schema,problem,solution,netlist
4,"*SPICE Netlist for circuit 4
V1 3 0 5V
M1 1 2 3 3 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 0 V
B. 9.682 V
C. 2.42 V
D. 4.841 V",D,"*SPICE Netlist for circuit 4
V1 3 0 5V
M1 1 2 3 3 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END"
6,"*SPICE Netlist for circuit 6
I1 1 0 DC 1mA

.OP
.PRINT OP V(1)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. -1 mV
B. -500 µV
C. 1 mV
D. -2 mV",A,"*SPICE Netlist for circuit 6
I1 1 0 DC 1mA

.OP
.PRINT OP V(1)
.END"
8,"*SPICE Netlist for circuit 8
I1 VDD 1 DC 1mA

.OP
.PRINT OP V(1) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 500 µV
B. 1 mV
C. -1 mV
D. 2 mV",B,"*SPICE Netlist for circuit 8
I1 VDD 1 DC 1mA

.OP
.PRINT OP V(1) V(VDD)
.END"
126,"M1 NMOS NX NVIN 0 0 NA
M2 NMOS NVOUT NVB NX NX NA
RD R VDD NVOUT NA",1. What are the DC voltages at nodes 2 and 5?,"1. V(2) = 5.00 V, V(5) = 1.67 V","Two‑MOSFET circuit with resistor load
M1 NX NVIN 0 0 NMOS
M2 NVOUT NVB NX NX NMOS
RD VDD NVOUT 1k
VDD VDD 0 DC 5
.model NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.model PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.op
.end"
18,"*SPICE Netlist for circuit 18
V1 3 0 5V
M1 3 1 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 0 V
B. 1.252 V
C. 5 V
D. 2.505 V",D,"*SPICE Netlist for circuit 18
V1 3 0 5V
M1 3 1 2 2 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END"
28,"*SPICE Netlist for circuit 28
M1 2 1 5 5 NMOS W=1u L=1u
V2 5 0 5V
V1 3 0 5V
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) I(V2) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 4.841 V
B. 2.42 V
C. 9.682 V
D. 0 V",A,"*SPICE Netlist for circuit 28
M1 2 1 5 5 NMOS W=1u L=1u
V2 5 0 5V
V1 3 0 5V
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) I(V2) I(V1)
.END"
169,"M1 NMOS N_VOUT N_VIN 0 0 NA
R1 R N_VIN N_VOUT NA
R2 R VDD N_VOUT NA",1. What are the DC voltages at nodes 1 and 2?,"1. V(1) = 5.00 V, V(2) = 0.00 V","MOSFET circuit with bias resistors
M1 N_VOUT N_VIN 0 0 NMOS
R1 N_VIN N_VOUT 1k
R2 VDD N_VOUT 1k
VDD VDD 0 DC 5
.model NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.model PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.op
.end"
54,"M1 PMOS VDD N1 N2 N2 NA
C1 C N1 N2 NA
V1 V N1 0 NA",2. What is the DC current through the voltage source V1?,2. I(V1) = 0.00 A.,"PMOS circuit with capacitor and input source
M1 VDD N1 N2 N2 PMOS
C1 C N1 N2 1n
V1 V N1 0 DC 5
VDD VDD 0 DC 5
.model NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.model PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.op
.end"
31,"*SPICE Netlist for circuit 31
I1 3 0 DC 1mA
V1 2 0 5V
M1 2 1 3 3 NMOS W=1u L=1u
R1 3 2 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. 0 V
B. 5 V
C. 4 V
D. -1 mV",C,"*SPICE Netlist for circuit 31
I1 3 0 DC 1mA
V1 2 0 5V
M1 2 1 3 3 NMOS W=1u L=1u
R1 3 2 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END"
31,"*SPICE Netlist for circuit 31
I1 3 0 DC 1mA
V1 2 0 5V
M1 2 1 3 3 NMOS W=1u L=1u
R1 3 2 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END","In the given SPICE netlist, what is the DC current through V1?
A. 0 A
B. 5 A
C. 4 A
D. -1 mA",D,"*SPICE Netlist for circuit 31
I1 3 0 DC 1mA
V1 2 0 5V
M1 2 1 3 3 NMOS W=1u L=1u
R1 3 2 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END"
32,"*SPICE Netlist for circuit 32
I1 3 0 DC 1mA
M1 2 1 3 3 NMOS W=1u L=1u
V1 1 0 5V
R1 3 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 7.995 V
B. -1 mV
C. 5 V
D. 3.998 V",D,"*SPICE Netlist for circuit 32
I1 3 0 DC 1mA
M1 2 1 3 3 NMOS W=1u L=1u
V1 1 0 5V
R1 3 1 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) I(V1)
.END"
35,"M1 NMOS Vout N1 0 0 NA
R1 R Vout 0 NA
V1 V N1 0 NA
V2 V 0 0 +2V",2. What is the DC current drawn from the voltage source V1?,2. I(V1) = -4.31 mA,"MOSFET circuit with resistor load and input source
M1 Vout N1 0 0 NMOS
R1 Vout 0 1k
V1 N1 0 DC 5
V2 V 0 DC 2
.model NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.model PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.op
.end"
