original_index,image,problem,solution,schema,netlist
0,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4F160>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The steady state output \( V_{out} \) of the circuit shown below will

Choices:
A. saturate to \( +V_{DD} \)
B. saturate to \( -V_{EE} \)
C. become equal to 0.1 V
D. become equal to -0.1 V
",B,"A1 OPAMP Nn Np No NA; Nn inverting input, Np non-inverting input
V1 V Ni 0 0.1V
R1 R Ni Nn NA
C1 C Nn Nout NA
R2 R Np 0 NA
Labels:
Vout V No 0
+VDD V; A1 positive supply
-VEE V; A1 negative supply","* circuit generated from schema
.param A=1e5
V1 Ni 0 DC 0.1
R1 Ni Nn 10k
C1 Nn No 1u
R2 Np 0 10k
BOP No 0 V = LIMIT({A}*(V(Np)-V(Nn)), V(VEE), V(VDD))
VDD VDD 0 DC 12
VEE VEE 0 DC -12
.end"
1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4E1D0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: An operational amplifier circuit is shown in the <image>. The output of the circuit for a given input \( v_i \) is ______.

Choices  
A. \( -\left(\frac{R_2}{R_1}\right)v_i \)  
B. \( -(1 + \frac{R_2}{R_1})v_i \)  
C. \( (1 + \frac{R_2}{R_1})v_i \)  
D. \( +V_{\text{sat}} \) or \( -V_{\text{sat}} \)
",D,"A1 OpAMP Nn1 Np1 No1 NA; Np1 non-inverting input, Nn1 inverting input
A2 OpAMP Nn2 Np2 No2 NA; Np2 non-inverting input, Nn2 inverting input, No1 = Np2 (A1 output into A2 non-inverting input)
R1 R Np1 0 NA
R2 R Np1 No1 NA
R3 R Nn2 0 R
R4 R Nn2 No2 R
Labels:
vi V Nn1 0
vo V No2 0
+Vsat V; A1 positive supply
-Vsat V; A1 negative supply
+Vsat V; A2 positive supply
-Vsat V; A2 negative supply
","* circuit generated from schema
.param R=10k

* Op-amp macromodel with rail-to-rail soft saturation
.subckt OPAMP IN- IN+ OUT VP VN
.param A=1e6
BOP OUT 0 V = 0.5*(V(VP)+V(VN)) + 0.5*(V(VP)-V(VN))*tanh({A}*(V(IN+)-V(IN-))/(abs(V(VP)-V(VN))+1e-6))
ROUT OUT 0 1e6
.ends OPAMP

* Input source
V1 Nn1 0 DC 1

* A1 supplies
VCC1 VP1 0 DC 12
VEE1 VN1 0 DC -12

* A2 supplies
VCC2 VP2 0 DC 12
VEE2 VN2 0 DC -12

* Op-amp stages
XOP1 Nn1 Np1 No1 VP1 VN1 OPAMP
XOP2 Nn2 No1 No2 VP2 VN2 OPAMP

* Resistor network
R1 Np1 0 10k
R2 Np1 No1 10k
R3 Nn2 0 {R}
R4 Nn2 No2 {R}

.end"
2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4DC60>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The voltage of the three electrodes of a silicon transistor measured with a multimeter is shown in the figure. It can be determined that the transistor is operating in ( )
Choices
A. Amplification state
B. Cutoff state
C. Reverse amplification state
D. Saturation state
",A,"Q1 NPN NC NB NE NA; NC collector, NB base, NE emitter
Labels:
5.3V V NB 0; voltage applied at base terminal
8V V NC 0; voltage applied at collector terminal
4.6V V NE 0; voltage applied at emitter terminal","* circuit generated from schema
VNB NB 0 DC 5.3
VNC NC 0 DC 8
VNE NE 0 DC 4.6
Q1 NC NB NE MODNPN
.model MODNPN NPN BF=100 VAF=100 IS=1e-14 RB=100 CJC=0.5p TF=0.6ns
.end"
3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4DE10>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the circuit shown in figure, \( E_1 = 10 \, V \), \( E_2 = 20 \, V \), \( R_1 = 40 \, \Omega \), \( R_2 = 30 \, \Omega \), and \( R_3 = 20 \, \Omega \), then \( U_{ab} = \) ________V.",2,"E1 V N1 a NA
E2 V N1 N3 NA
R1 R N1 a NA
R2 R N1 b NA
R3 R N3 b NA","* circuit generated from schema
V1 N1 a DC 1
V2 N1 N3 DC 1
R1 N1 a 1k
R2 N1 0 1k
R3 N3 0 1k
.end"
4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4E1A0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the feedback configuration of the circuit is ( ).
Choices
A. Voltage shunt negative feedback  
B. Voltage series negative feedback  
C. Current shunt negative feedback  
D. Current series negative feedback
",B,"A AMP Np Nn No NA; Np non-inverting input, Nn inverting input
VT NPN NC NB NE NA; No = NB (A output into VT base) 
R1 R Nn 0 NA
R2 R Nn NE NA
R3 R NE 0 NA
Labels:
ui V Np 0
uo V NE 0
Vcc V NC 0","* circuit generated from schema

* Voltage sources
VUI NP 0 DC 1
VCC NC 0 DC 12

* Op-amp subcircuit (ideal VCVS with high gain)
.subckt AMP NP NN NO
EAMP NO 0 NP NN 1e5
.ends AMP
XAMP NP NN NO AMP

* Transistor
QVT NC NO NE NPNMOD

* Resistors
R1 NN 0 10k
R2 NN NE 10k
R3 NE 0 1k

* Models
.model NPNMOD NPN(Is=1e-14 Bf=100 Vaf=100 Ikf=0.1 Rc=1 Re=0.5 Cje=10p Cjc=10p Tf=1n Tr=50n)

.end"
5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4D5D0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the series AC circuit shown in figure, given \( U = 220V \), \( R = \omega L = _x000C_rac{1}{\omega C} = 100\Omega \), the active power consumed by this circuit is ( ).
Choices
A. \( 2.2 \times 100 \) W  
B. \( 2.2^2 \times 100 \) W  
C. \( 2.2 \times 300 \) W  
D. \( 2.2^2 \times 300 \) W
",B,"R R N1 N3 R
L L N3 N4 L
C C N2 N4 C
Labels:
U V N1 N2","* circuit generated from schema
V1 N1 0 DC 1
R1 N1 N3 1k
L1 N3 N4 1m
C1 0 N4 1u
.end"
7,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4D2D0>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the voltage comparator circuit shown in figure, the stable voltage of the Zener diode VD\(_{Z}\) is \( U_{Z} = 6V \), with a forward conduction voltage \( U_{F} = 0.7V \) and an externally applied reference voltage \( U_{R} = 2V \). The threshold voltage \( U_{T} \) of the circuit is ()V.
",-2,"A AMP Np Nn No NA; Np non-inverting input, Nn inverting input, Np grounded
RUR R NUR Nn 10kΩ
Rui R Nui Nn 10kΩ
R R No Nz NA
VD2 D 0 Nz NA; VD2 is a zener diode
Labels:
UR V NUR 0
ui V Nui 0
uo V Nz 0","* circuit generated from schema
VUR NUR 0 DC 1
VUI Nui 0 DC 1
VNP Np 0 DC 0
EAMP No 0 Np Nn 1e6
RUR NUR Nn 10k
RUI Nui Nn 10k
ROUT No Nz 1k
DZD 0 Nz DZ
.model DZ D (IS=1e-14 N=1 BV=5.6 IBV=1m)
.end"
8,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4D150>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.  
Question: Calculate the (unregulated) voltage across the 1000 μF capacitor under no-load conditions in the regulated power supply circuit, as shown in the figure. The unregulated voltage across the 1000 μF capacitor is ______V.",32.5,"V1 V N1 N2 120VAC
S1 SW N1 N3 NA
L1 L N3 N2 NA
Q1 NPN NC NB NE NA
L2 L N4 N5 NA
D1 D N4 NC NA
D2 D N5 NC NA
D3 D 0 N4 NA
D4 D 0 N5 NA
C1 C NC 0 1000μF
R1 R NC NB 1kΩ
D5 D 0 NB 6.9V; D5 is a zener diode
C2 C NE 0 47μF
Labels:
+V V NE 0
turns_ratio 1000:200
Gnd 0","* circuit generated from schema
VMAIN N1 N2 SIN(0 170 60)
VSW SWCTL 0 DC 5
S1 N1 N3 SWCTL 0 SWMOD
.model SWMOD SW(Ron=1m Roff=10Meg Vt=2 Vh=0.5)
L1 N3 N2 10H
L2 N4 N5 0.4H
K1 L1 L2 0.999
D1 N4 NC DRECT
D2 N5 NC DRECT
D3 0 N4 DRECT
D4 0 N5 DRECT
.model DRECT D(Is=1e-8 Rs=0.5 N=1.9 Eg=1.11 Cjo=20p M=0.5)
C1 NC 0 1000u
R1 NC NB 1k
D5 NB 0 DZ6V9
.model DZ6V9 D(Bv=6.9 Ibv=1m Rs=2 Is=1e-8 N=1.2 Cjo=10p)
Q1 NC NB NE NPNMOD
.model NPNMOD NPN(Is=1e-14 Bf=200 Vaf=100 Ikf=0.1 Rc=1 Re=0.5 Cjc=20p Cje=50p Tf=400p Tr=50n)
C2 NE 0 47u
.end"
9,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4CD90>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the circuit shown in figure, to make the current \( I = 2A \), the value of the resistor \( R \) should be _______ Ω.
",4,"I1 I N1 N2 4A; independent current source
R1 R N2 N3 10Ω
R2 R N3 N1 4Ω
R3 R N3 N1 R
Labels:
I I; current through R","* circuit generated from schema
.param Rval=1k
I1 0 N2 DC 4
R1 N2 N3 10
R2 N3 0 4
R3 N3 0 {Rval}
V1 N2 0 DC 1
.end"
10,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F190CF4D090>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.  
Question: In the circuit shown, the Norton equivalent resistance (in \( \Omega \)) across terminals a-b is ______.  
**Choices:**  
A. 1.3  
B. 0.8  
C. 1.9  
D. 2.2",A,"V1 V N1 b 4I; dependent voltage source
R1 R N1 a 2Ω
R2 R a b 2Ω
R3 R a b 4Ω
Labels:
I I; current through R3","* circuit generated from schema

* Independent supply to power the circuit
Vin a 0 DC 1

* Current-sense source in series with R3
Vsen a ns DC 0

* Current-controlled voltage source: V = 4 * I(Vsen)
H1 n1 0 Vsen 4

* Resistors
R1 n1 a 2
R2 a 0 2
R3 ns 0 4

.end"
